objID	objStat	objName	GeneLength	chr	startpos	endpos	strand	objID.orig	objBin
6269	-1.94971836533275	NOC2L	15105	1	879584	894689	NA	6269	1
4436	-1.48863631556937	ISG15	1117	1	948803	949920	NA	4436	1
302	-1.86574775583683	AGRN	35993	1	955503	991496	NA	302	1
5547	3.0706917842709	MIR200B	94	1	1102484	1102578	NA	5547	1
5546	3.0706917842709	MIR200A	89	1	1103243	1103332	NA	5546	1
9908	2.93406878990296	TNFRSF18	3183	1	1138888	1142071	NA	9908	1
9914	2.93406878990296	TNFRSF4	2812	1	1146706	1149518	NA	9914	1
851	2.93406878990296	B3GALT6	2792	1	1167629	1170421	NA	851	1
10257	2.99190049024825	UBE2J2	19976	1	1189289	1209265	NA	10257	1
8569	3.04661177799875	SCNN1D	11593	1	1215816	1227409	NA	8569	1
92	2.99190049024825	ACAP3	17233	1	1227756	1244989	NA	92	1
9610	2.39349737382033	TAS1R3	3992	1	1266694	1270686	NA	9610	1
2589	2.39382182574821	DVL1	14074	1	1270656	1284730	NA	2589	1
831	1.80624295798308	AURKAIP1	1765	1	1309110	1310875	NA	831	1
5780	1.8933469126962	MRPL20	5405	1	1337288	1342693	NA	5780	1
735	1.54388040145661	ATAD3B	26085	1	1407143	1433228	NA	735	1
9367	-0.543101878683755	SSU72	33196	1	1477053	1510249	NA	9367	1
5471	-0.513594249315118	MIB2	15195	1	1550795	1565990	NA	5471	1
1466	-0.513594249315118	CDK11B	19870	1	1570603	1590473	NA	1466	1
1465	-1.04675344540701	CDK11A	21597	1	1634169	1655766	NA	1465	1
6014	-0.456680742949747	NADK	29225	1	1682671	1711896	NA	6014	1
3532	-0.817599397147638	GNB1	105766	1	1716729	1822495	NA	3532	1
1161	-1.67893405539769	CALML6	2469	1	1846266	1848735	NA	1161	1
3294	-2.4049974726268	GABRD	11412	1	1950780	1962192	NA	3294	1
7665	0.994095392075502	PRKCZ	134925	1	1981909	2116834	NA	7665	1
8819	-0.567888517426957	SKI	81424	1	2160134	2241558	NA	8819	1
7144	-0.290780239254372	PEX10	9000	1	2336236	2345236	NA	7144	1
7358	0.137797232381307	PLCH2	79550	1	2357419	2436969	NA	7358	1
6979	0.241728598585764	PANK4	18067	1	2439972	2458039	NA	6979	1
3866	0.314794458605963	HES5	1500	1	2460184	2461684	NA	3866	1
9906	0.286108135699837	TNFRSF14	9743	1	2487078	2496821	NA	9906	1
2969	0.029549122531857	FAM213B	4978	1	2517930	2522908	NA	2969	1
7616	1.04270443497195	PRDM16	369453	1	2985732	3355185	NA	7616	1
624	1.87300539044067	ARHGEF16	26687	1	3370990	3397677	NA	624	1
9984	0.998952451669383	TP73	83681	1	3569084	3652765	NA	9984	1
2368	0.0816530864406119	DFFB	28148	1	3773845	3801993	NA	2368	1
6313	-0.557301589910906	NPHP4	129662	1	5922871	6052533	NA	6313	1
4549	1.20663577418436	KCNAB2	109727	1	6051526	6161253	NA	4549	1
8337	2.07110768084692	RPL22	28120	1	6241329	6269449	NA	8337	1
4171	1.95114062355509	ICMT	14779	1	6281253	6296032	NA	4171	1
120	2.26277149228661	ACOT7	130122	1	6324329	6454451	NA	120	1
9913	1.85071100066486	TNFRSF25	5044	1	6521211	6526255	NA	9913	1
7377	1.84194907535714	PLEKHG5	53969	1	6526152	6580121	NA	7377	1
6277	-0.0932454295813794	NOL9	33188	1	6581407	6614595	NA	6277	1
9608	-0.0932454295813794	TAS1R1	24576	1	6615241	6639817	NA	9608	1
4740	-0.449446993360401	KLHL21	23883	1	6650784	6674667	NA	4740	1
7208	-0.377624767883209	PHF13	10348	1	6673745	6684093	NA	7208	1
10457	0.457911950290931	VAMP3	10163	1	7831329	7841492	NA	10457	1
7140	0.325009966678471	PER3	60857	1	7844380	7905237	NA	7140	1
10448	0.457911950290931	UTS2	10429	1	7903143	7913572	NA	10448	1
9917	0.97734536013878	TNFRSF9	21019	1	7979907	8000926	NA	9917	1
6996	0.976726265507066	PARK7	31214	1	8014351	8045565	NA	6996	1
2775	-0.772859619834412	ENO1	18247	1	8921061	8939308	NA	2775	1
1107	1.72680662618408	CA6	29225	1	9005926	9035151	NA	1107	1
8955	1.28687564223081	SLC2A7	23045	1	9063359	9086404	NA	8955	1
8953	1.17458763468292	SLC2A5	53371	1	9095166	9148537	NA	8953	1
5583	-0.890236415263709	MIR34A	109	1	9211727	9211836	NA	5583	1
3780	0.245995417909161	H6PD	36562	1	9294834	9331396	NA	3780	1
9297	-0.340596392341222	SPSB1	76652	1	9352939	9429591	NA	9297	1
7264	2.55641501940162	PIK3CD	77382	1	9711790	9789172	NA	7264	1
2068	3.67089045929784	CTNNBIP1	62060	1	9908334	9970394	NA	2068	1
6254	3.69328784226986	NMNAT1	42073	1	10003486	10045559	NA	6254	1
10280	2.90686124257652	UBE4B	148407	1	10092890	10241297	NA	10280	1
4679	1.18222592217428	KIF1B	170798	1	10270863	10441661	NA	4679	1
7185	-0.82582118887985	PGD	21552	1	10458649	10480201	NA	7185	1
1902	-0.70194408205301	CORT	2183	1	10509776	10511959	NA	1902	1
2367	8.91099762256106e-05	DFFA	16004	1	10516579	10532583	NA	2367	1
7150	0.25012064993638	PEX14	158470	1	10532345	10690815	NA	7150	1
9603	2.02865976963655	TARDBP	13382	1	11072414	11085796	NA	9603	1
5320	2.28957497655181	MASP2	20710	1	11086580	11107290	NA	5320	1
9326	2.43708089531006	SRM	5440	1	11114641	11120081	NA	9326	1
2909	2.84432802158901	EXOSC10	33263	1	11126675	11159938	NA	2909	1
5907	2.64468677266826	MTOR	155972	1	11166592	11322564	NA	5907	1
10281	0.724595547521243	UBIAD1	22843	1	11333263	11356106	NA	10281	1
3027	0.0689963259594595	FBXO2	7418	1	11708424	11715842	NA	3027	1
3039	0.0689963259594595	FBXO44	8952	1	11714432	11723384	NA	3039	1
3041	0.0460596474625128	FBXO6	10230	1	11724181	11734411	NA	3041	1
5220	0.0025785410127274	MAD2L2	17170	1	11734537	11751707	NA	5220	1
306	0.0025785410127274	AGTRAP	18718	1	11796141	11814859	NA	306	1
5894	0.415953072649138	MTHFR	21197	1	11845780	11866977	NA	5894	1
1702	0.377715369766154	CLCN6	36994	1	11866207	11903201	NA	1702	1
6319	0.480726520591389	NPPA	2636	1	11905766	11908402	NA	6319	1
6320	0.480726520591389	NPPB	1467	1	11917521	11918988	NA	6320	1
7393	0.92796231849275	PLOD1	41333	1	11994262	12035595	NA	7393	1
5449	0.921354104163329	MFN2	33333	1	12040238	12073571	NA	5449	1
9916	1.71061848342159	TNFRSF8	80830	1	12123434	12204264	NA	9916	1
9911	1.96948196934713	TNFRSF1B	42225	1	12227060	12269285	NA	9911	1
2390	2.00078378645902	DHRS3	49798	1	12627939	12677737	NA	2390	1
7115	0.868757129514564	PDPN	34492	1	13909960	13944452	NA	7115	1
7617	0.565158473677278	PRDM2	124881	1	14026693	14151574	NA	7617	1
4533	0.72677257506047	KAZN	519339	1	14925200	15444539	NA	4533	1
2076	-1.08538328835245	CTRC	10802	1	15764935	15775737	NA	2076	1
1512	-1.12462973772985	CELA2A	15363	1	15783223	15798586	NA	1512	1
1513	-1.16935054481075	CELA2B	25491	1	15792404	15817895	NA	1513	1
1228	-1.16935054481075	CASP9	35702	1	15817327	15853029	NA	1228	1
290	-0.720185713906267	AGMAT	12757	1	15898848	15911605	NA	290	1
8443	-0.277051201331844	RSC1A1	1853	1	15986364	15988217	NA	8443	1
7379	-0.4855315369605	PLEKHM2	50437	1	16010827	16061264	NA	7379	1
2999	-0.490672717110018	FBLIM1	29987	1	16083102	16113089	NA	2999	1
9258	0.717714606796322	SPEN	92596	1	16174359	16266955	NA	9258	1
10650	1.01498929407426	ZBTB17	34263	1	16268364	16302627	NA	10650	1
1704	0.0852404302079714	CLCNKA	15175	1	16345370	16360545	NA	1704	1
1705	0.129032077983879	CLCNKB	13531	1	16370272	16383803	NA	1705	1
2812	-0.245058700500747	EPHA2	31750	1	16450832	16482582	NA	2812	1
627	-1.13026376767152	ARHGEF19	14755	1	16524349	16539104	NA	627	1
6141	-1.64144282006519	NECAP2	19406	1	16767167	16786573	NA	6141	1
5443	-0.129530617727595	MFAP2	6333	1	17300997	17307330	NA	5443	1
772	-0.219049358290903	ATP13A2	25970	1	17312453	17338423	NA	772	1
8587	-0.219049358290903	SDHB	35448	1	17345217	17380665	NA	8587	1
6955	-0.160530733306497	PADI2	52692	1	17393256	17445948	NA	6955	1
6954	0.0191319929850463	PADI1	40879	1	17531621	17572500	NA	6954	1
6956	0.0661177378970057	PADI3	35135	1	17575593	17610728	NA	6956	1
6957	-0.424336531564984	PADI4	55809	1	17634690	17690499	NA	6957	1
8079	-0.663291580923006	RCC2	32964	1	17733256	17766220	NA	8079	1
620	1.03152298713875	ARHGEF10L	158039	1	17866330	18024369	NA	620	1
7019	0.733491822827473	PAX7	117860	1	18957500	19075360	NA	7019	1
9609	1.08190280919433	TAS1R2	20083	1	19166093	19186176	NA	9609	1
370	1.08347744300276	ALDH4A1	31349	1	19197926	19229275	NA	370	1
10291	0.672783707515387	UBR4	135770	1	19401000	19536770	NA	10291	1
349	1.04938372922315	AKR7A3	6692	1	19609052	19615744	NA	349	1
348	-1.348972855932	AKR7A2	8181	1	19630459	19638640	NA	348	1
7607	0.133136912887081	PQLC2	16974	1	19638820	19655794	NA	7607	1
1202	-0.221398704247973	CAPZB	146799	1	19665267	19812066	NA	1202	1
5477	0.705584586778944	MINOS1-NBL1	61076	1	19923473	19984549	NA	5477	1
6044	0.488506384668645	NBL1	17897	1	19967048	19984945	NA	6044	1
4146	-0.362041967709435	HTR6	14275	1	19991780	20006055	NA	4146	1
6909	2.32127042772043	OTUD3	30432	1	20209006	20239438	NA	6909	1
7326	2.26963257238532	PLA2G2E	3608	1	20246502	20250110	NA	7326	1
7323	2.3850740403418	PLA2G2A	5007	1	20301925	20306932	NA	7323	1
7335	-0.810128661282313	PLA2G5	63011	1	20354672	20417683	NA	7335	1
7325	-0.565183064852512	PLA2G2D	7618	1	20438432	20446050	NA	7325	1
7327	1.72226582225978	PLA2G2F	11060	1	20465819	20476879	NA	7327	1
7324	1.76566425030139	PLA2G2C	16171	1	20487746	20503917	NA	7324	1
5932	0.335184402190351	MUL1	8711	1	20825943	20834654	NA	5932	1
1418	-0.393349636788661	CDA	29960	1	20915441	20945401	NA	1418	1
7277	0.552683764248221	PINK1	18056	1	20959948	20978004	NA	7277	1
2270	1.20804926824071	DDOST	9730	1	20978270	20988000	NA	2270	1
4674	1.18521547280715	KIF17	54003	1	20990507	21044510	NA	4674	1
2730	-0.593650622700292	EIF4G3	370414	1	21132963	21503377	NA	2730	1
2624	-0.135286725146868	ECE1	128257	1	21543740	21671997	NA	2624	1
405	0.383055645771578	ALPL	69047	1	21835858	21904905	NA	405	1
8008	0.203247437046352	RAP1GAP	73093	1	21922708	21995801	NA	8008	1
10434	-0.0419980112051449	USP48	105308	1	22004791	22110099	NA	10434	1
4127	2.68059925493761	HSPG2	115052	1	22148738	22263790	NA	4127	1
1515	2.85767349880402	CELA3B	21621	1	22303514	22325135	NA	1515	1
1514	2.62556521619561	CELA3A	10883	1	22328149	22339032	NA	1514	1
1433	2.13349188331782	CDC42	40317	1	22379120	22419437	NA	1433	1
10583	2.05579327890329	WNT4	26664	1	22443798	22470462	NA	10583	1
2818	0.217151922823539	EPHA8	40030	1	22890057	22930087	NA	2818	1
1069	0.139985023900435	C1QA	3102	1	22962999	22966101	NA	1071	1
1072	0.125192853179609	C1QC	4480	1	22970123	22974603	NA	1074	1
1070	0.125192853179609	C1QB	8776	1	22979255	22988031	NA	1072	1
2820	0.490721808519366	EPHB2	204486	1	23037332	23241818	NA	2820	1
4637	0.0363660006301716	KDM1A	64241	1	23345941	23410182	NA	4637	1
4134	-1.79558840069555	HTR1D	4229	1	23516993	23521222	NA	4134	1
4031	-0.673855091588767	HNRNPR	40565	1	23630264	23670829	NA	4031	1
10822	1.01841561359244	ZNF436	9994	1	23685941	23695935	NA	10822	1
690	1.10844097981765	ASAP3	56005	1	23755056	23811061	NA	690	1
2611	-0.425676860097531	E2F2	24790	1	23832922	23857712	NA	2611	1
4176	-0.292807860237873	ID3	1876	1	23884409	23886285	NA	4176	1
8325	-1.37659827906062	RPL11	4646	1	24018269	24022915	NA	8325	1
5211	0.0788134520064927	LYPLA2	4569	1	24117460	24122029	NA	5211	1
3312	0.0788134520064927	GALE	5182	1	24122089	24127271	NA	3312	1
4004	-0.0602410937723673	HMGCL	36735	1	24128375	24165110	NA	4004	1
3232	0.0122922557897928	FUCA1	23217	1	24171567	24194784	NA	3232	1
1799	-1.02034646008175	CNR2	88533	1	24197016	24285549	NA	1799	1
7438	-0.821918842505925	PNRC2	4353	1	24285599	24289952	NA	7438	1
9341	-0.970477211299326	SRSF10	16123	1	24291294	24307417	NA	9341	1
4309	0.625938029726553	IL22RA1	23350	1	24446261	24469611	NA	4309	1
4228	0.617946028986632	IFNLR1	33802	1	24480647	24514449	NA	4228	1
6217	-0.493885719289814	NIPAL3	57182	1	24742284	24799466	NA	6217	1
9337	-2.53187784008319	SRRM1	41551	1	24958207	24999758	NA	9337	1
8470	1.34057795423159	RUNX3	65610	1	25226002	25291612	NA	8470	1
9525	1.12150325227602	SYF2	9823	1	25549170	25558993	NA	9525	1
5012	-1.99538619466679	LDLRAP1	25306	1	25870071	25895377	NA	5012	1
5244	-0.322301348402514	MAN1C1	168739	1	25943959	26112698	NA	5244	1
9439	-1.60454978222364	STMN1	22810	1	26210672	26233482	NA	9439	1
6962	-1.03787788486467	PAFAH2	38390	1	26286258	26324648	NA	6962	1
2920	-0.788775155736958	EXTL1	16580	1	26346375	26362955	NA	2920	1
8959	-0.730782045865903	SLC30A2	8881	1	26363743	26372624	NA	8959	1
10088	-0.788775155736958	TRIM63	17132	1	26377795	26394927	NA	10088	1
1784	1.17052830498872	CNKSR1	12483	1	26503894	26516377	NA	1784	1
1235	1.17052830498872	CATSPER4	12407	1	26517052	26529459	NA	1235	1
1547	1.14465903158085	CEP85	44608	1	26560691	26605299	NA	1547	1
1394	0.942184083107223	CD52	2566	1	26644448	26647014	NA	1394	1
5064	-0.683337641815236	LIN28A	18944	1	26737269	26756213	NA	5064	1
2384	-2.31551334867339	DHDDS	39012	1	26758773	26797785	NA	2384	1
8415	0.348207630972785	RPS6KA1	45269	1	26856252	26901521	NA	8415	1
642	0.98570228770915	ARID1A	86071	1	27022524	27108595	NA	642	1
7252	0.763036418127328	PIGV	10926	1	27113963	27124889	NA	7252	1
8717	-0.143131151584513	SFN	1314	1	27189633	27190947	NA	8717	1
6418	-0.115791496754954	NUDC	46624	1	27226729	27273353	NA	6418	1
6336	0.0475149954161765	NR0B2	2477	1	27237980	27240457	NA	6336	1
9068	-0.102171905144782	SLC9A1	68166	1	27425306	27493472	NA	9068	1
9547	-1.81340345275712	SYTL1	11908	1	27668513	27680421	NA	9547	1
5274	-1.92847352354842	MAP3K6	11708	1	27681675	27693383	NA	5274	1
3072	-1.9190887653073	FCN3	5712	1	27695603	27701315	NA	3072	1
10531	-2.27540813642258	WASF2	85939	1	27730730	27816669	NA	10531	1
3126	0.718856257607905	FGR	23213	1	27938575	27961788	NA	3126	1
4195	0.792899465991777	IFI6	6157	1	27992572	27998729	NA	4195	1
9454	-1.00347130209399	STX12	51269	1	28099694	28150963	NA	9454	1
8315	-0.697089935308929	RPA2	23222	1	28218035	28241257	NA	8315	1
2925	-1.18363517246341	EYA3	118352	1	28296855	28415207	NA	2925	1
7784	-2.77446902562648	PTAFR	46770	1	28473677	28520447	NA	7784	1
2483	-2.12277645401075	DNAJC8	33569	1	28525967	28559536	NA	2483	1
8694	-2.05846281824497	SESN2	22964	1	28586038	28609002	NA	8694	1
5401	-2.01398668068119	MED18	6963	1	28655513	28662476	NA	5401	1
8078	0.689007915879179	RCC1	33357	1	28832455	28865812	NA	8078	1
9571	-0.471299336922418	TAF12	53762	1	28915835	28969597	NA	9571	1
7940	-2.50798892111367	RAB42	3243	1	28918712	28921955	NA	7940	1
6500	-0.187944111226275	OPRD1	51554	1	29138654	29190208	NA	6500	1
2802	-0.60856198647184	EPB41	232950	1	29213603	29446553	NA	2802	1
9345	-0.537885026490915	SRSF4	34244	1	29474255	29508499	NA	9345	1
5391	-0.546803195253103	MECR	38069	1	29519385	29557454	NA	5391	1
7852	-0.827784987409851	PTPRU	90297	1	29563028	29653325	NA	7852	1
5326	0.689606736924448	MATN1	12310	1	31184124	31196434	NA	5326	1
4964	0.636098045392866	LAPTM5	25351	1	31205316	31230667	NA	4964	1
8582	0.460464275481647	SDC3	39294	1	31342314	31381608	NA	8582	1
7860	0.161075267902573	PUM1	134485	1	31404353	31538838	NA	7860	1
9174	0.871840726896516	SNRNP40	37245	1	31732417	31769662	NA	9174	1
10659	-0.0761105676681594	ZCCHC17	67941	1	31769842	31837783	NA	10659	1
2949	0.0898064463021834	FABP3	11225	1	31838472	31849697	NA	2949	1
8663	0.0260052709623413	SERINC2	25113	1	31882412	31907525	NA	8663	1
9820	-0.514623170835812	TINAGL1	11172	1	32042116	32053288	NA	9820	1
3832	-0.514623170835812	HCRTR1	14832	1	32083287	32098119	NA	3832	1
1829	0.748910560541064	COL16A1	52072	1	32117848	32169920	NA	1829	1
7822	1.17950713046189	PTP4A2	38435	1	32372022	32410457	NA	7822	1
4657	0.890667981313031	KHDRBS1	47021	1	32479430	32526451	NA	4657	1
4780	-0.652886434209122	KPNA6	68530	1	32573639	32642169	NA	4780	1
10207	-0.559827220882321	TXLNA	18599	1	32645287	32663886	NA	10207	1
2711	-0.44403989643776	EIF3I	9676	1	32687529	32697205	NA	2711	1
4993	0.187972807156551	LCK	34926	1	32716840	32751766	NA	4993	1
3835	0.228214162016334	HDAC1	41549	1	32757687	32799236	NA	3835	1
5309	0.349490968224327	MARCKSL1	2547	1	32799433	32801980	NA	5309	1
10654	2.13124324318328	ZBTB8OS	50731	1	33065773	33116504	NA	10654	1
8048	2.0536772416588	RBBP4	35069	1	33116743	33151812	NA	8048	1
10629	3.34086717009219	YARS	42914	1	33240840	33283754	NA	10629	1
8279	3.53804508135405	RNF19B	28240	1	33402046	33430286	NA	8279	1
326	3.68635734219831	AK2	73012	1	33473585	33546597	NA	326	1
10087	2.29550396607771	TRIM62	36657	1	33611003	33647660	NA	10087	1
5	-0.291591394620944	A3GALT2	14332	1	33772367	33786699	NA	5	1
7205	-0.576181316721413	PHC2	107429	1	33789224	33896653	NA	7205	1
5586	-0.0671292526366016	MIR3605	99	1	33797994	33798093	NA	5586	1
3469	-0.120753274729792	GJB5	3465	1	35220648	35224113	NA	3469	1
3468	-0.120753274729792	GJB4	3983	1	35225342	35229325	NA	3468	1
3467	-0.151490289186524	GJB3	5180	1	35246790	35251970	NA	3467	1
3462	-1.06305524179357	GJA4	2749	1	35258599	35261348	NA	3462	1
2427	2.10201537347134	DLGAP3	64149	1	35331037	35395186	NA	2427	1
8718	2.77610197288695	SFPQ	16770	1	35641979	35658749	NA	8718	1
9736	2.55909107144751	TFAP2E	21958	1	36038971	36060929	NA	9736	1
7747	2.70293768421192	PSMB2	40260	1	36067185	36107445	NA	7747	1
1754	2.54845933894148	CLSPN	49749	1	36185819	36235568	NA	1754	1
295	2.54845933894148	AGO4	49718	1	36273773	36323491	NA	295	1
292	2.51634593903062	AGO1	59802	1	36335409	36395211	NA	292	1
294	1.88628573367758	AGO3	141782	1	36396319	36538101	NA	294	1
1861	0.149533328990015	COL8A2	29984	1	36560837	36590821	NA	1861	1
10032	0.204148154322978	TRAPPC3	12925	1	36602173	36615098	NA	10032	1
9787	-0.469334993567413	THRAP3	80941	1	36690017	36770958	NA	9787	1
5166	-0.0410183195009282	LSM10	6654	1	36856839	36863493	NA	5166	1
5819	0.0156399651124772	MRPS15	8719	1	36921319	36930038	NA	5819	1
2019	-0.050215776624296	CSF3R	17235	1	36931644	36948879	NA	2019	1
3665	1.23138631706136	GRIK3	238602	1	37261128	37499730	NA	3665	1
5389	-0.286594056473611	MEAF6	22199	1	37958176	37980375	NA	5389	1
9165	-2.10284908561642	SNIP1	19853	1	38000050	38019903	NA	9165	1
2486	-2.06727757684936	DNALI1	9938	1	38022520	38032458	NA	2486	1
3550	-2.33160939852785	GNL2	29119	1	38032417	38061536	NA	3550	1
8446	-0.29037284647992	RSPO1	23644	1	38076951	38100595	NA	8446	1
1445	-0.0245796333549497	CDCA8	17301	1	38158090	38175391	NA	1445	1
2811	-0.100245675588002	EPHA10	51253	1	38179552	38230805	NA	2811	1
5887	-0.0846366110802288	MTF1	50053	1	38275239	38325292	NA	5887	1
4374	-0.137750144731548	INPP5B	86360	1	38326369	38412729	NA	4374	1
8710	-0.857752784379284	SF3A3	33946	1	38422647	38456593	NA	8710	1
3130	-0.761768582101566	FHL3	8836	1	38462442	38471278	NA	3130	1
7516	-0.101993350226398	POU3F1	2927	1	38509523	38512450	NA	7516	1
8428	-0.794536634688779	RRAGC	21625	1	39303870	39325495	NA	8428	1
5954	-1.81769808151293	MYCBP	18653	1	39328636	39347289	NA	5954	1
3465	-1.81769808151293	GJA9	17114	1	39330175	39347289	NA	3465	1
6132	-0.569950559920106	NDUFS5	8318	1	39491990	39500308	NA	6132	1
5217	-1.02997456531793	MACF1	405861	1	39546988	39952849	NA	5217	1
4664	-0.43113076383801	KIAA0754	6003	1	39876151	39882154	NA	4664	1
993	-0.249455973796854	BMP8A	34289	1	39957318	39991607	NA	993	1
6945	-0.244836114698851	PABPC4	15974	1	40026488	40042462	NA	6945	1
3875	1.45833994961331	HEYL	15792	1	40089825	40105617	NA	3875	1
6389	1.50729001016934	NT5C1A	12917	1	40124793	40137710	NA	6389	1
7541	1.46850574044154	PPIE	71732	1	40157854	40229586	NA	7541	1
994	0.614593215504853	BMP8B	31679	1	40222854	40254533	NA	994	1
6916	-0.228931570364383	OXCT2	1825	1	40235195	40237020	NA	6916	1
10100	1.49963369505775	TRIT1	42460	1	40306723	40349183	NA	10100	1
5451	2.91811965052441	MFSD2A	14836	1	40420802	40435638	NA	5451	1
1182	3.05731428008078	CAP1	32416	1	40505905	40538321	NA	1182	1
7603	3.05731428008078	PPT1	24996	1	40538379	40563375	NA	7603	1
