position	x	n	folded
752566	17	26	1
776546	7	30	1
832918	6	12	1
842013	3	24	1
869303	1	11	1
891021	33	38	1
903426	5	21	1
1003629	16	28	1
1005806	4	38	1
1018704	14	34	1
1021415	13	24	1
1021658	1	32	1
1021695	26	40	1
1030565	8	34	1
1031540	6	11	1
1048955	5	35	1
1049950	7	34	1
1060235	3	42	1
1061166	4	7	1
1062638	3	16	1
1077064	25	36	1
1079198	8	32	1
1087683	24	26	1
1094738	16	36	1
1099342	28	32	1
1106473	4	39	1
1108637	2	34	1
1119858	6	38	1
1121794	2	29	1
1135242	5	31	1
1152631	2	28	1
1156131	2	35	1
1161780	2	36	1
1163804	1	31	1
1176597	3	18	1
1194804	6	25	1
1211292	1	34	1
1222519	1	35	1
1237604	30	35	1
1247494	9	14	1
1249187	22	32	1
1254255	1	31	1
1297422	27	31	1
1314015	12	16	1
1314245	28	35	1
1329803	5	18	1
1336006	8	36	1
1373373	2	14	1
1425700	1	30	1
1477244	3	18	1
1478180	3	37	1
1486834	6	37	1
1486903	1	26	1
1487059	1	39	1
1493727	5	37	1
1497008	8	33	1
1497824	5	38	1
1500941	3	25	1
1505255	5	28	1
1509034	9	40	1
1519068	8	32	1
1552574	1	28	1
1566177	3	5	1
1586752	35	36	1
1596500	4	16	1
1599161	33	34	1
1603236	32	42	1
1603434	16	18	1
1684472	23	33	1
1687625	10	36	1
1706136	33	34	1
1706160	26	29	1
1707435	1	33	1
1723031	24	37	1
1745726	1	35	1
1748734	29	39	1
1759213	24	32	1
1770429	3	37	1
1776269	8	33	1
1779036	36	38	1
1781220	4	7	1
1787378	2	32	1
1797947	14	20	1
1801034	3	25	1
1810090	6	40	1
1812688	15	21	1
1844046	16	23	1
1852134	27	35	1
1852484	9	37	1
1873625	1	23	1
1874581	34	35	1
1882949	12	14	1
1888193	4	28	1
1888453	5	27	1
1892325	35	42	1
1914946	5	27	1
1916025	3	29	1
1930512	6	39	1
1930754	6	39	1
1942033	22	36	1
1942414	6	33	1
1946809	21	25	1
1948400	24	37	1
1981836	3	4	1
1987803	2	29	1
2004947	9	34	1
2016845	8	34	1
2020343	10	41	1
2020489	8	28	1
2022382	1	7	1
2024064	4	28	1
2026361	4	36	1
2026749	13	31	1
2033256	10	32	1
2035684	16	23	1
2036597	35	40	1
2040936	31	33	1
2043080	1	8	1
2046471	1	22	1
2051513	19	27	1
2052765	1	33	1
2058023	30	36	1
2060630	26	38	1
2068906	15	23	1
2069172	2	22	1
2069681	4	24	1
2071340	9	15	1
2071556	4	7	1
2080813	4	39	1
2082489	13	29	1
2082566	18	39	1
2086312	14	29	1
2087557	10	31	1
2088754	6	38	1
2089526	1	20	1
2090095	10	25	1
2096638	8	39	1
2104981	7	34	1
2110260	3	30	1
2112676	9	16	1
2113565	6	38	1
2118339	13	25	1
2119833	21	27	1
2127434	7	16	1
2140261	5	28	1
2146966	7	28	1
2155869	2	38	1
2156362	12	20	1
2164935	5	6	1
2167149	3	14	1
2173504	4	24	1
2176038	5	29	1
2180524	12	41	1
2182342	2	6	1
2182470	13	27	1
2199057	1	28	1
2204755	9	30	1
2204790	27	28	1
2205581	20	36	1
2211849	7	12	1
2218100	3	31	1
2220649	7	31	1
2221222	4	38	1
2222583	17	30	1
2223645	5	31	1
2223866	12	31	1
2224836	8	27	1
2224876	7	16	1
2231463	5	29	1
2234632	2	13	1
2235672	2	11	1
2236697	19	32	1
2240006	20	32	1
2240383	2	37	1
2245221	15	27	1
2245633	9	12	1
2247985	18	30	1
2251160	10	38	1
2261222	5	27	1
2263888	11	36	1
2269881	9	39	1
2269948	9	38	1
2270098	17	22	1
2278240	2	8	1
2280661	7	25	1
