GeneID	entrezID	ensemblID	Chrom	Start	End	Biotype
MIR1302-10	100422834	ENSG00000243485	1	29554	31109	lincRNA
MIR1302-11	100422919	ENSG00000243485	1	29554	31109	lincRNA
MIR1302-2	100302278	ENSG00000243485	1	29554	31109	lincRNA
MIR1302-9	100422831	ENSG00000243485	1	29554	31109	lincRNA
FAM138A	645520	ENSG00000237613	1	34554	36081	lincRNA
OR4F5	79501	ENSG00000186092	1	69091	70008	protein_coding
OR4F29	729759	ENSG00000235249	1	367640	368634	protein_coding
OR4F16	81399	ENSG00000185097	1	621059	622053	protein_coding
FAM87B	400728	ENSG00000177757	1	752751	755214	lincRNA
LINC00115	79854	ENSG00000225880	1	761586	762902	lincRNA
LINC01128	643837	ENSG00000228794	1	762988	794826	lincRNA
FAM41C	284593	ENSG00000230368	1	803451	812283	lincRNA
SAMD11	148398	ENSG00000187634	1	860260	879955	protein_coding
NOC2L	26155	ENSG00000188976	1	879584	894689	protein_coding
KLHL17	339451	ENSG00000187961	1	895967	901095	protein_coding
PLEKHN1	84069	ENSG00000187583	1	901877	911245	protein_coding
HES4	57801	ENSG00000188290	1	934342	935552	protein_coding
ISG15	9636	ENSG00000187608	1	948803	949920	protein_coding
AGRN	375790	ENSG00000188157	1	955503	991496	protein_coding
RNF223	401934	ENSG00000237330	1	1006346	1009687	protein_coding
C1orf159	54991	ENSG00000131591	1	1017198	1051741	protein_coding
MIR200B	406984	ENSG00000207730	1	1102484	1102578	miRNA
MIR200A	406983	ENSG00000207607	1	1103243	1103332	miRNA
MIR429	554210	ENSG00000198976	1	1104385	1104467	miRNA
TTLL10	254173	ENSG00000162571	1	1109264	1133315	protein_coding
TNFRSF18	8784	ENSG00000186891	1	1138888	1142071	protein_coding
TNFRSF4	7293	ENSG00000186827	1	1146706	1149518	protein_coding
SDF4	51150	ENSG00000078808	1	1152288	1167411	protein_coding
B3GALT6	126792	ENSG00000176022	1	1167629	1170421	protein_coding
UBE2J2	118424	ENSG00000160087	1	1189289	1209265	protein_coding
SCNN1D	6339	ENSG00000162572	1	1215816	1227409	protein_coding
ACAP3	116983	ENSG00000131584	1	1227756	1244989	protein_coding
PUSL1	126789	ENSG00000169972	1	1243947	1247057	protein_coding
TAS1R3	83756	ENSG00000169962	1	1266694	1270686	protein_coding
DVL1	1855	ENSG00000107404	1	1270656	1284730	protein_coding
MXRA8	54587	ENSG00000162576	1	1288069	1297157	protein_coding
AURKAIP1	54998	ENSG00000175756	1	1309110	1310875	protein_coding
CCNL2	81669	ENSG00000221978	1	1321091	1334708	protein_coding
MRPL20	55052	ENSG00000242485	1	1337288	1342693	protein_coding
ANKRD65	441869	ENSG00000235098	1	1353800	1357149	protein_coding
TMEM88B	643965	ENSG00000205116	1	1361508	1363167	protein_coding
VWA1	64856	ENSG00000179403	1	1370241	1378262	protein_coding
ATAD3C	219293	ENSG00000215915	1	1385069	1405538	protein_coding
ATAD3B	83858	ENSG00000160072	1	1407143	1433228	protein_coding
ATAD3A	55210	ENSG00000197785	1	1447531	1470067	protein_coding
