objID	objStat	objName	GeneLength	chr	startpos	endpos	strand
1	-0.137283776553682	A1BG	8321	19	58856544	58864865	NA
2	-0.354086106740482	A1CF	86266	10	52559169	52645435	NA
3	-8.0180417559626	A2M	48565	12	9220260	9268825	NA
4	-8.48351800769606	A2ML1	64529	12	8975068	9039597	NA
5	-0.163348896609936	A3GALT2	14332	1	33772367	33786699	NA
6	-0.279309523495283	A4GALT	29177	22	43088127	43117304	NA
7	-0.141162243050277	A4GNT	8669	3	137842560	137851229	NA
8	0.183124569888908	AAAS	17408	12	53701240	53718648	NA
9	0.931524834213839	AACS	77948	12	125549925	125627873	NA
10	-1.65533655404035	AADAC	14451	3	151531825	151546276	NA
11	-1.23484427947935	AADAT	31477	4	170981373	171012850	NA
12	-0.618614800332122	AAK1	212949	2	69688532	69901481	NA
13	-0.036786065439779	AANAT	16766	17	74449433	74466199	NA
14	-4.0030453086503	AARS	37248	16	70286198	70323446	NA
15	1.4598339905429	AARS2	13672	6	44267391	44281063	NA
16	2.33591859847911	AASDHPPT	23209	11	105946228	105969437	NA
17	1.20270299902728	AASS	68633	7	121715701	121784334	NA
18	-1.12292115631966	AATF	107996	17	35306175	35414171	NA
19	1.50746482351603	ABAT	110010	16	8768422	8878432	NA
20	0.347205428321066	ABCA1	147235	9	107543283	107690518	NA
21	-0.853366392645729	ABCA10	97632	17	67143355	67240987	NA
22	0.195368980173678	ABCA12	206885	2	215796266	216003151	NA
23	0.818339539009059	ABCA13	476037	7	48211055	48687092	NA
24	-0.75097631411082	ABCA2	21681	9	139901686	139923367	NA
25	0.602722727379345	ABCA3	64865	16	2325882	2390747	NA
26	2.31718039420692	ABCA4	128295	1	94458393	94586688	NA
27	-0.420052417189853	ABCA5	82933	17	67240452	67323385	NA
28	-0.610473577840192	ABCA6	63186	17	67074843	67138029	NA
29	-0.483003970650402	ABCA7	25469	19	1040102	1065571	NA
30	-1.05836562450475	ABCA8	88100	17	66863433	66951533	NA
31	-0.778065620445447	ABCA9	86576	17	66970629	67057205	NA
32	-1.72221138982324	ABCB1	209436	7	87133175	87342611	NA
33	0.561151911214105	ABCB10	42113	1	229652329	229694442	NA
34	-0.411774585546425	ABCB11	108384	2	169779448	169887832	NA
35	0.261302573843116	ABCB4	78738	7	87031013	87109751	NA
36	-0.752873832125341	ABCB5	161828	7	20654830	20816658	NA
37	2.01347718898152	ABCB6	9222	2	220074490	220083712	NA
38	1.27945903119643	ABCB8	19359	7	150725510	150744869	NA
39	0.178775879473874	ABCB9	60698	12	123405498	123466196	NA
40	-0.214633979477656	ABCC1	193497	16	16043434	16236931	NA
41	0.934307414949779	ABCC10	23064	6	43395104	43418168	NA
42	-0.137346920363408	ABCC11	80658	16	48200821	48281479	NA
43	-0.137346920363408	ABCC12	73045	16	48116884	48189929	NA
44	-0.489495032218119	ABCC2	69460	10	101542489	101611949	NA
45	-0.667153831453515	ABCC3	57475	17	48712138	48769613	NA
46	0.793649665667369	ABCC4	281604	13	95672083	95953687	NA
47	0.413102450982688	ABCC5	98081	3	183637722	183735803	NA
48	-0.1341960871544	ABCC6	74594	16	16242785	16317379	NA
49	0.681157109460301	ABCC8	84017	11	17414432	17498449	NA
50	-0.855039108681411	ABCC9	144001	12	21950335	22094336	NA
51	-0.798484738977145	ABCD2	69718	12	39943835	40013553	NA
52	-1.59096239432892	ABCD3	100289	1	94883933	94984222	NA
53	1.4219855594184	ABCD4	17633	14	74752126	74769759	NA
54	0.75211738731549	ABCE1	31247	4	146019084	146050331	NA
