Population	GeneID	Chr	Start	End	Biotype	LR.gene.max
Anatolia_EF	A3GALT2	1	33772367	33786699	protein_coding	2.110202
Anatolia_EF	AADACL3	1	12776118	12788726	protein_coding	7.014618
Anatolia_EF	AADACL4	1	12704566	12727097	protein_coding	7.014618
Anatolia_EF	ABCA4	1	94458393	94586688	protein_coding	8.654457
Anatolia_EF	ABCB10	1	229652329	229694442	protein_coding	1.990171
Anatolia_EF	ABCD3	1	94883933	94984222	protein_coding	0.810799
Anatolia_EF	ABL2	1	179068462	179198819	protein_coding	1.665956
Anatolia_EF	ACADM	1	76190036	76253260	protein_coding	2.392763
Anatolia_EF	ACAP3	1	1227756	1244989	protein_coding	17.447859
Anatolia_EF	ACBD3	1	226332380	226374431	protein_coding	2.156639
Anatolia_EF	ACBD6	1	180244515	180472089	protein_coding	4.120275
Anatolia_EF	ACOT11	1	55007930	55104865	protein_coding	3.4605
Anatolia_EF	ACOT7	1	6324329	6454451	protein_coding	12.49366
Anatolia_EF	ACP6	1	147101453	147142618	protein_coding	3.221545
Anatolia_EF	ACTA1	1	229566992	229569845	protein_coding	1.794641
Anatolia_EF	ACTL8	1	18081808	18153558	protein_coding	2.11304
Anatolia_EF	ACTN2	1	236849754	236927931	protein_coding	6.576999
Anatolia_EF	ACTRT2	1	2938046	2939465	protein_coding	1.896748
Anatolia_EF	ADAM15	1	155023042	155035252	protein_coding	0.696989
Anatolia_EF	ADAM30	1	120436156	120439118	protein_coding	11.386475
Anatolia_EF	ADAMTS4	1	161154098	161168846	protein_coding	4.35766
Anatolia_EF	ADAMTSL4	1	150521884	150533413	protein_coding	2.581081
Anatolia_EF	ADAR	1	154554538	154600475	protein_coding	3.749047
Anatolia_EF	ADCY10	1	167778625	167883453	protein_coding	3.445683
Anatolia_EF	ADIPOR1	1	202909951	202927700	protein_coding	3.1024
Anatolia_EF	ADORA1	1	203059782	203136533	protein_coding	8.911527
Anatolia_EF	ADORA3	1	112025970	112106584	protein_coding	10.025144
Anatolia_EF	ADPRHL2	1	36554476	36559533	protein_coding	3.552138
Anatolia_EF	ADSS	1	244571796	244615436	protein_coding	1.555259
Anatolia_EF	AGBL4	1	48998527	50489585	protein_coding	4.707109
Anatolia_EF	AGL	1	100315640	100389579	protein_coding	1.820312
Anatolia_EF	AGMAT	1	15898848	15911605	protein_coding	1.607413
