objID	objStat	objName	GeneLength	chr	startpos	endpos	strand
1	1.94727059049783	A1BG	8321	19	58856544	58864865	NA
2	-0.547388343310821	A1CF	86266	10	52559169	52645435	NA
3	-5.43835673803033	A2M	48565	12	9220260	9268825	NA
4	-6.06726616251136	A2ML1	64529	12	8975068	9039597	NA
5	-0.076695829196556	A3GALT2	14332	1	33772367	33786699	NA
6	-1.05140151882773	A4GALT	29177	22	43088127	43117304	NA
7	0.371918269416401	A4GNT	8669	3	137842560	137851229	NA
8	-1.8696314258257	AAAS	17408	12	53701240	53718648	NA
9	0.406997839852108	AACS	77948	12	125549925	125627873	NA
10	0.255210213299663	AADAC	14451	3	151531825	151546276	NA
11	0.550895581524658	AADAT	31477	4	170981373	171012850	NA
12	-0.791605274573309	AAK1	212949	2	69688532	69901481	NA
13	0.0769068347028063	AANAT	16766	17	74449433	74466199	NA
14	-2.97758703020055	AARS	37248	16	70286198	70323446	NA
15	-1.02427774943004	AARS2	13672	6	44267391	44281063	NA
16	2.18648012425152	AASDHPPT	23209	11	105946228	105969437	NA
17	-1.36283295093094	AASS	68633	7	121715701	121784334	NA
18	-0.854629761828401	AATF	107996	17	35306175	35414171	NA
19	1.27443198099845	ABAT	110010	16	8768422	8878432	NA
20	1.97686131555595	ABCA1	147235	9	107543283	107690518	NA
21	0.512291362778518	ABCA10	97632	17	67143355	67240987	NA
22	-0.351194381376471	ABCA12	206885	2	215796266	216003151	NA
23	-0.795676902410844	ABCA13	476037	7	48211055	48687092	NA
24	-0.429270601496595	ABCA2	21681	9	139901686	139923367	NA
25	0.101687620590688	ABCA3	64865	16	2325882	2390747	NA
26	0.260584821724111	ABCA4	128295	1	94458393	94586688	NA
27	-0.123628278651202	ABCA5	82933	17	67240452	67323385	NA
28	0.613457564754584	ABCA6	63186	17	67074843	67138029	NA
29	-0.911495906560036	ABCA7	25469	19	1040102	1065571	NA
30	-0.337821142036604	ABCA8	88100	17	66863433	66951533	NA
31	-0.505887057002662	ABCA9	86576	17	66970629	67057205	NA
32	0.549754272728347	ABCB1	209436	7	87133175	87342611	NA
33	1.28460121972144	ABCB10	42113	1	229652329	229694442	NA
34	-0.607061976510333	ABCB11	108384	2	169779448	169887832	NA
35	1.69716706200715	ABCB4	78738	7	87031013	87109751	NA
36	0.150905566722051	ABCB5	161828	7	20654830	20816658	NA
37	2.36237281767416	ABCB6	9222	2	220074490	220083712	NA
38	-0.282480180430144	ABCB8	19359	7	150725510	150744869	NA
39	1.86383267850899	ABCB9	60698	12	123405498	123466196	NA
40	-1.00441122007597	ABCC1	193497	16	16043434	16236931	NA
41	0.366519327356854	ABCC10	23064	6	43395104	43418168	NA
42	2.42802670841165	ABCC11	80658	16	48200821	48281479	NA
43	1.91626072797884	ABCC12	73045	16	48116884	48189929	NA
44	-0.791920567780728	ABCC2	69460	10	101542489	101611949	NA
45	-1.32275175660177	ABCC3	57475	17	48712138	48769613	NA
46	0.954409292889661	ABCC4	281604	13	95672083	95953687	NA
47	-1.75721511320773	ABCC5	98081	3	183637722	183735803	NA
48	-0.437244285725993	ABCC6	74594	16	16242785	16317379	NA
49	0.700825203363047	ABCC8	84017	11	17414432	17498449	NA
50	-0.110737256057045	ABCC9	144001	12	21950335	22094336	NA
51	1.20619938662515	ABCD2	69718	12	39943835	40013553	NA
52	-1.82728529002929	ABCD3	100289	1	94883933	94984222	NA
53	-0.148020988439764	ABCD4	17633	14	74752126	74769759	NA
54	-1.61134904802571	ABCE1	31247	4	146019084	146050331	NA
55	-0.197404716271778	ABCF1	25803	6	30539153	30564956	NA
56	2.23404220514526	ABCG1	97555	21	43619799	43717354	NA
57	-1.01755115764723	ABCG2	141058	4	89011416	89152474	NA
58	-0.438135994319346	ABCG4	13638	11	119019722	119033360	NA
59	-0.3915821598609	ABCG5	26393	2	44039611	44066004	NA
60	-0.361161144526932	ABCG8	39502	2	44066103	44105605	NA
61	-0.433895445814351	ABHD10	14353	3	111697857	111712210	NA
62	-0.0506890263676494	ABHD12	96240	20	25275379	25371619	NA
63	1.83391359414304	ABHD14B	14899	3	52002526	52017425	NA
64	1.61341467398539	ABHD3	53908	18	19230858	19284766	NA
65	-1.20802135853517	ABHD4	14119	14	23067146	23081265	NA
66	-0.438646451613831	ABHD5	44258	3	43731605	43775863	NA
67	-0.607928046725694	ABHD6	58187	3	58223233	58281420	NA
68	0.452493002359397	ABI1	114494	10	27035522	27150016	NA
69	-0.604199573736177	ABI2	119504	2	204192942	204312446	NA
70	2.94487686848193	ABL1	173729	9	133589333	133763062	NA
71	-1.43152467678502	ABL2	130357	1	179068462	179198819	NA
72	-0.717189829643155	ABLIM1	253890	10	116190872	116444762	NA
73	-0.742508274690922	ABLIM2	193520	4	7967039	8160559	NA
74	3.18206421880446	ABLIM3	119059	5	148521046	148640105	NA
75	-0.0877917615358994	ABR	225557	17	906758	1132315	NA
76	0.300267273747816	ACAA1	34113	3	38144620	38178733	NA
77	-0.697566229794392	ACAA2	30461	18	47309869	47340330	NA
78	-0.425842832620781	ACACA	324986	17	35441923	35766909	NA
79	0.145379397307737	ACACB	151631	12	109554400	109706031	NA
80	3.78763352432447	ACAD10	71046	12	112123857	112194903	NA
81	-0.412870237807297	ACAD11	102585	3	132276982	132379567	NA
82	-0.389480189944145	ACAD8	12360	11	134123389	134135749	NA
83	1.64683647284092	ACAD9	36471	3	128598439	128634910	NA
84	-0.660893197137843	ACADL	37552	2	211052663	211090215	NA
85	-0.830309806890677	ACADM	63224	1	76190036	76253260	NA
86	-0.469227285944221	ACADS	14273	12	121163538	121177811	NA
87	0.751620959376709	ACADSB	49332	10	124768495	124817827	NA
88	-0.0419438935116632	ACADVL	8148	17	7120444	7128592	NA
89	0.000570819027926622	ACAN	71911	15	89346674	89418585	NA
90	0.0926917626993804	ACAP1	14949	17	7239848	7254797	NA
91	-0.739387623366505	ACAP2	168342	3	194995465	195163807	NA
92	0.572244974091037	ACAP3	17233	1	1227756	1244989	NA
93	-0.171858921226371	ACAT1	26260	11	107992243	108018503	NA
94	0.879079447078593	ACAT2	18784	6	160181360	160200144	NA
95	-1.38852065705061	ACBD3	42051	1	226332380	226374431	NA
96	0.584965291620664	ACBD4	11581	17	43209967	43221548	NA
97	0.350724674222661	ACBD5	46913	10	27484146	27531059	NA
98	-0.00280308506593015	ACBD6	227574	1	180244515	180472089	NA
99	0.955614541892274	ACBD7	11253	10	15119522	15130775	NA
100	-0.291626589016432	ACD	3298	16	67691415	67694713	NA
101	-2.0615018497525	ACE	44783	17	61554422	61599205	NA
102	0.24400338158112	ACER1	27487	19	6306153	6333640	NA
103	0.240687167794305	ACER2	43093	9	19408925	19452018	NA
104	-0.706446059838589	ACER3	165930	11	76571911	76737841	NA
105	-0.187381120937871	ACHE	6979	7	100487615	100494594	NA
106	1.72122736938359	ACIN1	37050	14	23527773	23564823	NA
107	3.12640092818918	ACKR3	14571	2	237476430	237491001	NA
108	-0.102098385279894	ACKR4	21730	3	132316081	132337811	NA
109	-0.0653983931795456	ACLY	63634	17	40023161	40086795	NA
110	0.220029254463453	ACMSD	63487	2	135596117	135659604	NA
111	0.743919605747637	ACO1	70149	9	32384618	32454767	NA
112	1.62336656973821	ACO2	59864	22	41865129	41924993	NA
113	-1.50934705975896	ACOT1	6680	14	74003818	74010498	NA
114	0.446759393718087	ACOT11	96935	1	55007930	55104865	NA
115	1.22563496464804	ACOT12	64174	5	80625824	80689998	NA
116	0.946332314061955	ACOT13	38030	6	24667263	24705293	NA
117	1.88038796683701	ACOT2	8033	14	74034324	74042357	NA
118	1.88038796683701	ACOT4	4790	14	74058410	74063200	NA
119	1.88038796683701	ACOT6	8943	14	74077649	74086592	NA
120	1.09662491057957	ACOT7	130122	1	6324329	6454451	NA
121	1.21779181753091	ACOT8	15685	20	44470360	44486045	NA
122	-0.0909405086291692	ACOX1	37927	17	73937588	73975515	NA
123	0.852888700279443	ACOX2	32183	3	58490863	58523046	NA
124	0.816405729015953	ACOX3	74441	4	8368009	8442450	NA
125	0.073806116246492	ACOXL	385649	2	111490150	111875799	NA
126	-1.2409507980774	ACP1	14143	2	264140	278283	NA
